BIRTH_YEAR,COUNTY_ORIGIN,BIRTH_MONTH,CALF_BREED_TYPE,TOTAL_BIRTH
2016,LAOIS,JUL,DAIRY,135
2016,LAOIS,JUN,BEEF,2699
2016,LAOIS,JUN,DAIRY,340
2016,LAOIS,MAR,BEEF,8855
2016,LAOIS,MAR,DAIRY,4945
2016,LAOIS,MAY,BEEF,4791
2016,LAOIS,MAY,DAIRY,826
2016,LAOIS,NOV,BEEF,1702
2016,LAOIS,NOV,DAIRY,442
2016,LAOIS,OCT,BEEF,2189
2016,LAOIS,OCT,DAIRY,709
2016,LAOIS,SEP,BEEF,2408
2016,LAOIS,SEP,DAIRY,530
2016,LEITRIM,APR,BEEF,5462
2016,LEITRIM,APR,DAIRY,150
2016,LEITRIM,AUG,BEEF,1216
2016,LEITRIM,AUG,DAIRY,10
2016,LEITRIM,DEC,BEEF,841
2016,LEITRIM,DEC,DAIRY,63
2016,LEITRIM,FEB,BEEF,1678
2016,LEITRIM,FEB,DAIRY,283
2016,LEITRIM,JAN,BEEF,1928
2016,LEITRIM,JAN,DAIRY,217
2016,LEITRIM,JUL,BEEF,1700
2016,LEITRIM,JUL,DAIRY,6
2016,LEITRIM,JUN,BEEF,2589
2016,LEITRIM,JUN,DAIRY,25
2016,LEITRIM,MAR,BEEF,3211
2016,LEITRIM,MAR,DAIRY,254
2016,LEITRIM,MAY,BEEF,5093
2016,LEITRIM,MAY,DAIRY,32
2016,LEITRIM,NOV,BEEF,905
2016,LEITRIM,NOV,DAIRY,70
2016,LEITRIM,OCT,BEEF,927
2016,LEITRIM,OCT,DAIRY,84
2016,LEITRIM,SEP,BEEF,933
2016,LEITRIM,SEP,DAIRY,54
2016,LIMERICK,APR,BEEF,15369
2016,LIMERICK,APR,DAIRY,4034
2016,LIMERICK,AUG,BEEF,2405
2016,LIMERICK,AUG,DAIRY,420
2016,LIMERICK,DEC,BEEF,1158
2016,LIMERICK,DEC,DAIRY,476
2016,LIMERICK,FEB,BEEF,16488
2016,LIMERICK,FEB,DAIRY,29244
2016,LIMERICK,JAN,BEEF,4378
2016,LIMERICK,JAN,DAIRY,8256
2016,LIMERICK,JUL,BEEF,2996
2016,LIMERICK,JUL,DAIRY,474
2016,LIMERICK,JUN,BEEF,4820
2016,LIMERICK,JUN,DAIRY,740
2016,LIMERICK,MAR,BEEF,21940
2016,LIMERICK,MAR,DAIRY,11687
2016,LIMERICK,MAY,BEEF,8757
2016,LIMERICK,MAY,DAIRY,1664
2016,LIMERICK,NOV,BEEF,1290
2016,LIMERICK,NOV,DAIRY,702
2016,LIMERICK,OCT,BEEF,1732
2016,LIMERICK,OCT,DAIRY,508
2016,LIMERICK,SEP,BEEF,1946
2016,LIMERICK,SEP,DAIRY,474
2016,LONGFORD,APR,BEEF,5959
2016,LONGFORD,APR,DAIRY,533
2016,LONGFORD,AUG,BEEF,1315
2016,LONGFORD,AUG,DAIRY,80
2016,LONGFORD,DEC,BEEF,646
2016,LONGFORD,DEC,DAIRY,59
2016,LONGFORD,FEB,BEEF,2529
2016,LONGFORD,FEB,DAIRY,2248
2016,LONGFORD,JAN,BEEF,1470
2016,LONGFORD,JAN,DAIRY,416
2016,LONGFORD,JUL,BEEF,1777
2016,LONGFORD,JUL,DAIRY,9
2016,LONGFORD,JUN,BEEF,2308
2016,LONGFORD,JUN,DAIRY,85
2016,LONGFORD,MAR,BEEF,5166
2016,LONGFORD,MAR,DAIRY,1161
2016,LONGFORD,MAY,BEEF,4211
2016,LONGFORD,MAY,DAIRY,181
2016,LONGFORD,NOV,BEEF,802
2016,LONGFORD,NOV,DAIRY,130
2016,LONGFORD,OCT,BEEF,929
2016,LONGFORD,OCT,DAIRY,138
2016,LONGFORD,SEP,BEEF,1124
2016,LONGFORD,SEP,DAIRY,90
2016,LOUTH,APR,BEEF,2665
2016,LOUTH,APR,DAIRY,796
2016,LOUTH,AUG,BEEF,719
2016,LOUTH,AUG,DAIRY,280
2016,LOUTH,DEC,BEEF,573
2016,LOUTH,DEC,DAIRY,268
2016,LOUTH,FEB,BEEF,2202
2016,LOUTH,FEB,DAIRY,3602
2016,LOUTH,JAN,BEEF,726
2016,LOUTH,JAN,DAIRY,858
2016,LOUTH,JUL,BEEF,728
2016,LOUTH,JUL,DAIRY,199
2016,LOUTH,JUN,BEEF,930
2016,LOUTH,JUN,DAIRY,246
2016,LOUTH,MAR,BEEF,3180
2016,LOUTH,MAR,DAIRY,1689
2016,LOUTH,MAY,BEEF,1794
2016,LOUTH,MAY,DAIRY,412
2016,LOUTH,NOV,BEEF,593
2016,LOUTH,NOV,DAIRY,619
2016,LOUTH,OCT,BEEF,833
2016,LOUTH,OCT,DAIRY,905
2016,LOUTH,SEP,BEEF,704
2016,LOUTH,SEP,DAIRY,742
2016,MAYO,APR,BEEF,18283
2016,MAYO,APR,DAIRY,801
2016,MAYO,AUG,BEEF,2810
2016,MAYO,AUG,DAIRY,147
2016,MAYO,DEC,BEEF,1829
2016,MAYO,DEC,DAIRY,222
2016,MAYO,FEB,BEEF,7115
2016,MAYO,FEB,DAIRY,2839
2016,MAYO,JAN,BEEF,4944
2016,MAYO,JAN,DAIRY,854
2016,MAYO,JUL,BEEF,3994
2016,MAYO,JUL,DAIRY,138
2016,MAYO,JUN,BEEF,6577
2016,MAYO,JUN,DAIRY,201
2016,MAYO,MAR,BEEF,16418
2016,MAYO,MAR,DAIRY,2050
2016,MAYO,MAY,BEEF,13115
2016,MAYO,MAY,DAIRY,419
2016,MAYO,NOV,BEEF,1937
